name,name_translation,address,google_maps_url,cuisine,latitude,longitude
Yakini Q SJ,,"1783 W San Carlos St, San Jose, CA 95128",https://maps.app.goo.gl/T6N3cLGww4PuRw6X6,Korean,37.3239635,-121.9244778
Mala Town,自选麻辣烫,"438 Barber Ln, Milpitas, CA 95035",https://maps.app.goo.gl/AbQKnqx4Gq14RZgX8,Chinese,37.4220556,-121.9174880
Mala Town,自选麻辣烫,"1737 Decoto Rd, Union City, CA 94587",https://maps.app.goo.gl/uWTmNJdFr592n4bc8,Chinese,37.5894883,-122.0221885
Hing Lung,兴隆小馆,"1230 El Camino Real P, San Bruno, CA 94066",https://maps.app.goo.gl/HkfxaetKzmL8KCig7,Chinese,37.6394014,-122.4209327
Mumu Hot Pot,,"1273 Lawrence Station Rd, Sunnyvale, CA 94089",https://maps.app.goo.gl/vfDGvDPaN6oEunhN9,Chinese,37.4065269,-121.9963567
Mumu Hot Pot,,"1099 Foster Square Ln #135, Foster City, CA 94404",https://maps.app.goo.gl/th4J1dQUdw3n42HK9,Chinese,37.5591948,-122.2680528
Mumu Hot Pot,,"2 Varela Ave Ste 203, San Francisco, CA 94132",https://maps.app.goo.gl/SRgdzNMvSrZbowge8,Chinese,37.7204075,-122.4768375
Mumu Hot Pot,,"5699 Bay St, Emeryville, CA 94608",https://maps.app.goo.gl/S7cfazopbzsvBwqt5,Chinese,37.8368714,-122.2927318
Tasty Pot (De Anza),,"1183 S De Anza Blvd #30, San Jose, CA 95129",https://maps.app.goo.gl/bVHzjvVTVjAR2rWa8,Chinese,37.3040100,-122.0327693
Miga Korean Restaurant,,"39033 State St, Fremont, CA 94538",https://maps.app.goo.gl/7nHLMdMEKFc8fbkK7,Korean,37.5503204,-121.9855859
The Yakitori Bar,,"46260 Warm Springs Blvd UNIT 529, Fremont, CA 94539",https://maps.app.goo.gl/9X7msNuYfFVyHh2k7,Japanese,37.4925962,-121.9296974
Imperial Treasure,宝藏,"151 California Ave unit e, Palo Alto, CA 94306",https://maps.app.goo.gl/2uewNGtnvEdxcvTQ9,Chinese,37.4283830,-122.1422935
Grandma's Kitchen,外婆家常菜,"19541 Richwood Dr, Cupertino, CA 95014",https://maps.app.goo.gl/yQgJ4u5r7YziHE7f9,Chinese,37.3219968,-122.0148829
Din Ding Dumpling House Union City,鼎顶,"1779 Decoto Rd, Union City, CA 94587",https://maps.app.goo.gl/BLrdtcZe8SfeGoFu7,Chinese,37.5892769,-122.0226915
Din Ding Dumpling House Fremont,鼎顶,"3768 J Capitol Ave, Fremont, CA 94538",https://maps.app.goo.gl/MPx12FvmgbJcKuBXA,Chinese,37.5487529,-121.9854840
Bò Né Phú Yên,,"1818 Tully Rd, San Jose, CA 95122",https://maps.app.goo.gl/YS3fjF457BbJvxW27,Vietnamese,37.3221050,-121.8232817
Hunan House,一屋饭湘,"122 S Sunnyvale Ave, Sunnyvale, CA 94086",https://maps.app.goo.gl/nYejc5TeBn1kF3eg7,Chinese,37.3766525,-122.0287799
Feng Hotpot,冯校长老火锅,"1669 Hollenbeck Ave A, Sunnyvale, CA 94087",https://maps.app.goo.gl/tt6dPBf2xtRsAsJb7,Chinese,37.3387227,-122.0425458
Imperial Soup,皇帝汤,"723 Webster St, Oakland, CA 94607",https://maps.app.goo.gl/EGxHaTQBoEckHESPA,Chinese,37.7989844,-122.2717487
Highland Noodles,金城·兰州拉面,"1720 N Milpitas Blvd, Milpitas, CA 95035",https://maps.app.goo.gl/WeevHXWjrKJfLNt18,Chinese,37.4552901,-121.9099436
